name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	21	3	0.0
Buchnera aphidicola	9	species	619958	31	10	0.0
Cellulomonas gilvus	11	species	3526441	1	1	0.0
Dictyoglomus thermophilum	14	species	1959987	1	0	0.0
Pelobacter carbinolicus	19	species	3665893	4	2	0.0
Shewanella putrefaciens	24	species	4749735	2	0	0.0
Myxococcus fulvus	33	species	10026214	3	0	0.0
Myxococcus xanthus	34	species	9139763	3	0	0.0
Stigmatella aurantiaca	41	species	10260756	3	0	0.0
Archangium gephyra	48	species	12489432	3	0	0.0
Chondromyces crocatus	52	species	11388132	1	0	0.0
Sorangium cellulosum	56	species	13907952	1	0	0.0
Cyclobacterium marinum	104	species	6221273	10	0	0.0
Runella slithyformis	106	species	6919729	7	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	1	1	0.0
Methylocystis	133	genus	0	2	0	0.0
Spirochaeta thermophila	154	species	2516433	1	0	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Treponema succinifaciens	167	species	2897425	3	3	0.0
Leptospira interrogans	173	species	5395453	2	0	0.0
Leptospira borgpetersenii	174	species	3948532	2	0	0.0
Leptospirillum	179	genus	0	1	0	0.0
Azospirillum brasilense	192	species	13978806	32	4	0.0
Azospirillum lipoferum	193	species	7223069	56	0	0.0
Campylobacter coli	195	species	5104439	3	0	0.0
Campylobacter fetus	196	species	1876301	1	0	0.0
Campylobacter jejuni	197	species	6156435	5	2	0.0
Campylobacter hyointestinalis	198	species	1753331	2	0	0.0
Campylobacter concisus	199	species	1969727	1	0	0.0
Campylobacter curvus	200	species	1971270	2	0	0.0
Campylobacter lari	201	species	1576113	2	0	0.0
Helicobacter pylori	210	species	2044699	5	3	0.0
Helicobacter acinonychis	212	species	1557588	3	0	0.0
Helicobacter cinaedi	213	species	2170766	61	0	0.0
Helicobacter felis	214	species	1672681	3	0	0.0
Helicobacter mustelae	217	species	1578097	61	0	0.0
Brucella	234	genus	0	319	0	0.0
Brucella abortus	235	species	5108028	521	2	0.0
Brucella ovis	236	species	3275590	147	0	0.0
Francisella tularensis	263	species	2777166	1	0	0.0
Paracoccus denitrificans	266	species	5236194	9501	9300	0.000984299
Thermus aquaticus	271	species	2338641	1	0	0.0
Thermus thermophilus	274	species	2214494	1	0	0.0
Meiothermus ruber	277	species	3097457	1	0	0.0
Xanthobacter autotrophicus	280	species	5625098	8	0	0.0
Comamonas testosteroni	285	species	5695231	31	8	0.0
Pseudomonas aeruginosa	287	species	22457305	43	32	0.0
Pseudoalteromonas atlantica	288	species	5187005	3	0	0.0
Burkholderia cepacia	292	species	13365495	2	0	0.0
Pseudomonas fluorescens	294	species	14826544	50	2	0.0
Pseudomonas fragi	296	species	5101809	43	0	0.0
Pseudomonas mendocina	300	species	5293211	54	0	0.0
Pseudomonas putida	303	species	6888188	48	1	0.0
Ralstonia solanacearum	305	species	11186335	1903	438	0.0
Pseudomonas stutzeri	316	species	7755802	62	2	0.0
Ralstonia pickettii	329	species	6378979	8593	8078	0.000577607
Pseudomonas pseudoalcaligenes	330	species	4691662	5	0	0.0
Xanthomonas	338	genus	0	9	0	0.0
Xanthomonas campestris	339	species	7063896	7765	0	0
Xanthomonas translucens	343	species	4638247	6960	0	0.0
Xanthomonas citri	346	species	17318955	7765	0	9.52008e-13
Xanthomonas oryzae	347	species	17545599	8394	0	1.076e-12
Azotobacter chroococcum	353	species	5192286	4	1	0.0
Azotobacter vinelandii	354	species	5351632	4	0	0.0
Agrobacterium	357	genus	0	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	6785	36	0.0
Agrobacterium vitis	373	species	6320946	156	0	0.0
Bradyrhizobium japonicum	375	species	9215796	17	0	0.0
Bradyrhizobium sp.	376	species	7547693	17	0	0.0
Rhizobium	379	genus	0	4	0	0.0
Sinorhizobium fredii	380	species	6891900	697	3	0.0
Mesorhizobium loti	381	species	7539018	16	0	0.0
Sinorhizobium meliloti	382	species	6962835	927	188	0.0
Rhizobium leguminosarum	384	species	7369497	10	2	0.0
Rhizobium phaseoli	396	species	87841097	8	0	0.0
Rhizobium tropici	398	species	6686334	8	0	0.0
Neorhizobium galegae	399	species	6434105	7	0	0.0
Methylobacillus flagellatus	405	species	2971517	70	15	0.0
Methylobacterium extorquens	408	species	6163878	16	0	0.0
Methylococcus capsulatus	414	species	3304561	56	7	0.0
Methylomonas methanica	421	species	5051681	6	0	0.0
Acetobacter pasteurianus	438	species	3216979	3	0	0.0
Gluconobacter oxydans	442	species	3306867	42	11	0.0
Legionella pneumophila	446	species	15688009	6	0	0.0
Legionella hackeliae	449	species	3570857	1	0	0.0
Legionella longbeachae	450	species	4149158	8	1	0.0
Tatlockia micdadei	451	species	3310028	1	0	0.0
Acinetobacter	469	genus	0	1	0	0.0
Acinetobacter baumannii	470	species	11595472	83	9	0.0
Moraxella catarrhalis	480	species	2846413	33	5	0.0
Neisseria gonorrhoeae	485	species	4967431	24	7	0.0
