name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	619958	13	2	0.0
Cyclobacterium marinum	104	species	6221273	4	0	0.0
Runella slithyformis	106	species	6919729	5	0	0.0
Methylocystis	133	genus	0	2	0	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Leptospirillum	179	genus	0	4	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	2	0	0.0
Azospirillum brasilense	192	species	13978806	5	1	0.0
Azospirillum lipoferum	193	species	7223069	6	0	0.0
Campylobacter coli	195	species	5104439	1	0	0.0
Campylobacter fetus	196	species	1876301	1	0	0.0
Campylobacter hyointestinalis	198	species	1753331	1	0	0.0
Campylobacter curvus	200	species	1971270	1	0	0.0
Campylobacter lari	201	species	1576113	1	0	0.0
Helicobacter pylori	210	species	2044699	2	1	0.0
Helicobacter cinaedi	213	species	2170766	1	0	0.0
Helicobacter felis	214	species	1672681	3	1	0.0
Helicobacter mustelae	217	species	1578097	1	0	0.0
Paracoccus denitrificans	266	species	5236194	4	3	0.0
Thermus aquaticus	271	species	2338641	2	0	0.0
Thermus thermophilus	274	species	2214494	2	0	0.0
Meiothermus ruber	277	species	3097457	2	0	0.0
Xanthobacter autotrophicus	280	species	5625098	2	0	0.0
Comamonas testosteroni	285	species	5695231	3	1	0.0
Pseudoalteromonas atlantica	288	species	5187005	2	0	0.0
Burkholderia cepacia	292	species	13365495	1	0	0.0
Pseudomonas fluorescens	294	species	14826544	5	1	0.0
Pseudomonas fragi	296	species	5101809	3	0	0.0
Pseudomonas putida	303	species	6888188	3	0	0.0
Ralstonia solanacearum	305	species	11186335	5	1	0.0
Pseudomonas stutzeri	316	species	7755802	2	0	0.0
Ralstonia pickettii	329	species	6378979	13	10	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	1	0	0.0
Xanthomonas campestris	339	species	7063896	2	0	0.0
Xanthomonas translucens	343	species	4638247	2	0	0.0
Xanthomonas citri	346	species	17318955	2	0	0.0
Xanthomonas oryzae	347	species	17545599	3	0	0.0
Azotobacter chroococcum	353	species	5192286	1	0	0.0
Azotobacter vinelandii	354	species	5351632	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	6	0	0.0
Bradyrhizobium sp.	376	species	7547693	1	0	0.0
Sinorhizobium fredii	380	species	6891900	3	0	0.0
Mesorhizobium loti	381	species	7539018	3	0	0.0
Sinorhizobium meliloti	382	species	6962835	3	3	0.0
Methylobacillus flagellatus	405	species	2971517	5	1	0.0
Methylobacterium extorquens	408	species	6163878	3	0	0.0
Methylococcus capsulatus	414	species	3304561	2	0	0.0
Methylomonas methanica	421	species	5051681	2	0	0.0
Gluconobacter oxydans	442	species	3306867	15	0	0.0
Acinetobacter baumannii	470	species	11595472	2	0	0.0
Moraxella catarrhalis	480	species	2846413	2	0	0.0
