name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	21	1	0.0
Buchnera aphidicola	9	species	619958	27	10	0.0
Pelobacter carbinolicus	19	species	3665893	3	2	0.0
Shewanella putrefaciens	24	species	4749735	2	0	0.0
Myxococcus fulvus	33	species	10026214	3	0	0.0
Myxococcus xanthus	34	species	9139763	3	0	0.0
Stigmatella aurantiaca	41	species	10260756	3	0	0.0
Archangium gephyra	48	species	12489432	3	0	0.0
Cyclobacterium marinum	104	species	6221273	2	0	0.0
Runella slithyformis	106	species	6919729	9	1	0.0
Methylocystis	133	genus	0	4	0	0.0
Treponema denticola	158	species	2843201	2	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	0	0.0
Leptospira	171	genus	0	1	0	0.0
Leptospira interrogans	173	species	5395453	2	0	0.0
Leptospira borgpetersenii	174	species	3948532	2	0	0.0
Leptospirillum	179	genus	0	2	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	1	0	0.0
Azospirillum	191	genus	0	1	0	0.0
Azospirillum brasilense	192	species	13978806	41	7	0.0
Azospirillum lipoferum	193	species	7223069	63	0	0.0
Campylobacter	194	genus	0	1	0	0.0
Campylobacter coli	195	species	5104439	3	0	0.0
Campylobacter fetus	196	species	1876301	1	0	0.0
Campylobacter jejuni	197	species	6156435	5	4	0.0
Campylobacter hyointestinalis	198	species	1753331	1	0	0.0
Campylobacter concisus	199	species	1969727	1	0	0.0
Campylobacter curvus	200	species	1971270	1	0	0.0
Campylobacter lari	201	species	1576113	3	0	0.0
Helicobacter pylori	210	species	2044699	4	2	0.0
Helicobacter acinonychis	212	species	1557588	1	0	0.0
Helicobacter cinaedi	213	species	2170766	72	1	0.0
Helicobacter felis	214	species	1672681	1	1	0.0
Helicobacter mustelae	217	species	1578097	71	0	0.0
Alteromonas	226	genus	0	1	0	0.0
Brucella	234	genus	0	285	0	0.0
Brucella abortus	235	species	5108028	910	2	0.0
Brucella ovis	236	species	3275590	247	0	0.0
Paracoccus denitrificans	266	species	5236194	11725	11457	0.00153618
Thermus aquaticus	271	species	2338641	2	0	0.0
Thermus thermophilus	274	species	2214494	2	0	0.0
Xanthobacter autotrophicus	280	species	5625098	14	1	0.0
Comamonas testosteroni	285	species	5695231	20	1	0.0
Pseudomonas	286	genus	0	1	0	0.0
Pseudomonas aeruginosa	287	species	22457305	5	2	0.0
Pseudoalteromonas atlantica	288	species	5187005	2	0	0.0
Burkholderia cepacia	292	species	13365495	8	1	0.0
Pseudomonas fluorescens	294	species	14826544	7	1	0.0
Pseudomonas fragi	296	species	5101809	5	0	0.0
Pseudomonas mendocina	300	species	5293211	2	0	0.0
Pseudomonas putida	303	species	6888188	5	0	0.0
Ralstonia solanacearum	305	species	11186335	4579	911	0.0
Pseudomonas stutzeri	316	species	7755802	3	1	0.0
Ralstonia pickettii	329	species	6378979	14145	13055	0.00131442
Pseudomonas pseudoalcaligenes	330	species	4691662	1	0	0.0
Xanthomonas	338	genus	0	7	0	0.0
Xanthomonas campestris	339	species	7063896	7228	0	0.0
Xanthomonas translucens	343	species	4638247	6668	0	0.0
Xanthomonas citri	346	species	17318955	7228	0	0.0
Xanthomonas oryzae	347	species	17545599	7654	0	0.0
Azotobacter chroococcum	353	species	5192286	2	0	0.0
Azotobacter vinelandii	354	species	5351632	2	0	0.0
Agrobacterium tumefaciens	358	species	9211775	7567	38	0.0
Agrobacterium vitis	373	species	6320946	131	2	0.0
Bradyrhizobium japonicum	375	species	9215796	13	0	0.0
Bradyrhizobium sp.	376	species	7547693	20	0	0.0
