name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	1	0	0.0
Azorhizobium caulinodans	7	species	5369772	1	0	0.0
Buchnera aphidicola	9	species	619958	31	5	0.0
Pelobacter carbinolicus	19	species	3665893	4	2	0.0
Myxococcus fulvus	33	species	10026214	3	0	0.0
Myxococcus xanthus	34	species	9139763	3	0	0.0
Stigmatella aurantiaca	41	species	10260756	3	0	0.0
Archangium gephyra	48	species	12489432	3	0	0.0
Cyclobacterium marinum	104	species	6221273	4	0	0.0
Runella slithyformis	106	species	6919729	6	0	0.0
Methylocystis	133	genus	0	3	0	0.0
Treponema succinifaciens	167	species	2897425	1	1	0.0
Leptospira interrogans	173	species	5395453	1	0	0.0
Leptospira borgpetersenii	174	species	3948532	1	0	0.0
Leptospirillum	179	genus	0	2	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	2	0	0.0
Azospirillum brasilense	192	species	13978806	9	0	0.0
Azospirillum lipoferum	193	species	7223069	11	0	0.0
Campylobacter coli	195	species	5104439	1	0	0.0
Campylobacter fetus	196	species	1876301	1	0	0.0
Campylobacter jejuni	197	species	6156435	3	3	0.0
Campylobacter hyointestinalis	198	species	1753331	1	0	0.0
Campylobacter concisus	199	species	1969727	1	0	0.0
Campylobacter curvus	200	species	1971270	1	0	0.0
Campylobacter lari	201	species	1576113	1	0	0.0
Helicobacter pylori	210	species	2044699	5	2	0.0
Helicobacter acinonychis	212	species	1557588	2	0	0.0
Helicobacter cinaedi	213	species	2170766	24	0	0.0
Helicobacter felis	214	species	1672681	4	0	0.0
Helicobacter mustelae	217	species	1578097	23	0	0.0
Francisella tularensis	263	species	2777166	3	0	0.0
Paracoccus denitrificans	266	species	5236194	6	4	0.0
Xanthobacter autotrophicus	280	species	5625098	2	0	0.0
Comamonas testosteroni	285	species	5695231	2	1	0.0
Pseudomonas aeruginosa	287	species	22457305	2	1	0.0
Pseudoalteromonas atlantica	288	species	5187005	1	0	0.0
Burkholderia cepacia	292	species	13365495	1	0	0.0
Pseudomonas fluorescens	294	species	14826544	4	0	0.0
Pseudomonas fragi	296	species	5101809	3	0	0.0
Pseudomonas mendocina	300	species	5293211	7	0	0.0
Pseudomonas putida	303	species	6888188	4	0	0.0
Ralstonia solanacearum	305	species	11186335	17	5	0.0
Pseudomonas stutzeri	316	species	7755802	8	1	0.0
Ralstonia pickettii	329	species	6378979	86	74	7.37392e-06
Agrobacterium tumefaciens	358	species	9211775	1	0	0.0
Agrobacterium vitis	373	species	6320946	1	0	0.0
Bradyrhizobium japonicum	375	species	9215796	1	0	0.0
Bradyrhizobium sp.	376	species	7547693	2	0	0.0
Sinorhizobium fredii	380	species	6891900	16	0	0.0
Mesorhizobium loti	381	species	7539018	11	0	0.0
Sinorhizobium meliloti	382	species	6962835	5	4	0.0
Methylobacillus flagellatus	405	species	2971517	1	0	0.0
Methylobacterium extorquens	408	species	6163878	1	0	0.0
Methylococcus capsulatus	414	species	3304561	4	0	0.0
Methylomonas methanica	421	species	5051681	7	0	0.0
Acetobacter pasteurianus	438	species	3216979	2	0	0.0
Gluconobacter oxydans	442	species	3306867	39	1	0.0
